       0.2334225915E+00      0.9936406995E+00      0.9914474378E+00      0.9999245257E+00      0.9915222723E+00      0.1008550214E+01      0.6846983474E+00      0.1000008388E+01      0.9999962883E+00      0.5495566092E-01      0.3657270811E-01      0.1819748820E+02      0.2058666186E+00      0.9915211413E+00
       0.2346242252E+00      0.9935419771E+00      0.9913135350E+00      0.9999222126E+00      0.9913906527E+00      0.1008684112E+01      0.6917661532E+00      0.1000008617E+01      0.9999961706E+00      0.5553041573E-01      0.3695415892E-01      0.1800917059E+02      0.2074377991E+00      0.9913895213E+00
       0.2358134370E+00      0.9934432744E+00      0.9911796234E+00      0.9999198634E+00      0.9912590596E+00      0.1008818018E+01      0.6987966324E+00      0.1000008849E+01      0.9999960509E+00      0.5610232869E-01      0.3733369605E-01      0.1782561470E+02      0.2089962362E+00      0.9912579279E+00
       0.2369905383E+00      0.9933445912E+00      0.9910457030E+00      0.9999174779E+00      0.9911274929E+00      0.1008951933E+01      0.7057905256E+00      0.1000009084E+01      0.9999959295E+00      0.5667145811E-01      0.3771135842E-01      0.1764663062E+02      0.2105422137E+00      0.9911263609E+00
       0.2381558281E+00      0.9932459277E+00      0.9909117739E+00      0.9999150563E+00      0.9909959527E+00      0.1009085857E+01      0.7127485479E+00      0.1000009324E+01      0.9999958061E+00      0.5723786028E-01      0.3808718362E-01      0.1747203867E+02      0.2120760044E+00      0.9909948203E+00
       0.2393095938E+00      0.9931472837E+00      0.9907778359E+00      0.9999125985E+00      0.9908644389E+00      0.1009219789E+01      0.7196713895E+00      0.1000009566E+01      0.9999956809E+00      0.5780158956E-01      0.3846120796E-01      0.1730166875E+02      0.2135978714E+00      0.9908633062E+00
       0.2404521115E+00      0.9930486594E+00      0.9906438892E+00      0.9999101045E+00      0.9907329516E+00      0.1009353730E+01      0.7265597180E+00      0.1000009813E+01      0.9999955538E+00      0.5836269849E-01      0.3883346651E-01      0.1713535968E+02      0.2151080685E+00      0.9907318186E+00
       0.2415836473E+00      0.9929500546E+00      0.9905099338E+00      0.9999075743E+00      0.9906014908E+00      0.1009487679E+01      0.7334141783E+00      0.1000010062E+01      0.9999954248E+00      0.5892123783E-01      0.3920399316E-01      0.1697295864E+02      0.2166068401E+00      0.9906003574E+00
       0.2427044569E+00      0.9928514694E+00      0.9903759695E+00      0.9999050079E+00      0.9904700564E+00      0.1009621637E+01      0.7402353946E+00      0.1000010316E+01      0.9999952940E+00      0.5947725668E-01      0.3957282072E-01      0.1681432059E+02      0.2180944224E+00      0.9904689226E+00
       0.2438147868E+00      0.9927529038E+00      0.9902419965E+00      0.9999024053E+00      0.9903386484E+00      0.1009755604E+01      0.7470239707E+00      0.1000010573E+01      0.9999951613E+00      0.6003080257E-01      0.3993998090E-01      0.1665930781E+02      0.2195710434E+00      0.9903375143E+00
       0.2449148746E+00      0.9926543578E+00      0.9901080148E+00      0.9998997664E+00      0.9902072668E+00      0.1009889579E+01      0.7537804913E+00      0.1000010833E+01      0.9999950267E+00      0.6058192149E-01      0.4030550442E-01      0.1650778941E+02      0.2210369231E+00      0.9902061324E+00
       0.2460049492E+00      0.9925558313E+00      0.9899740242E+00      0.9998970912E+00      0.9900759117E+00      0.1010023563E+01      0.7605055228E+00      0.1000011097E+01      0.9999948902E+00      0.6113065798E-01      0.4066942104E-01      0.1635964092E+02      0.2224922746E+00      0.9900747770E+00
